user,rating,review,date
Alex Alex,4,baik👍,2026-03-02 16:53:17
Widhi Guntur,5,mantap,2026-03-02 16:52:19
Gege Ramadhan01,2,"setiap akan login menggunakan fingerprint selalu ga bisa, padahal sudah aktif fitur fingerprintnya. masa setiap akan login selalu verifikasi ktp & selfi terus.",2026-03-02 16:51:42
Julius J DF,5,terbaik..👍👍👍,2026-03-02 16:50:20
Aimar Radinka,5,gampang banget,2026-03-02 16:50:18
Pandapotan nasution,5,good,2026-03-02 16:49:09
Siti Sundari,5,matappp,2026-03-02 16:45:32
Kent Hilk,5,siip joss,2026-03-02 16:44:11
Riki upik,2,"kenapa stelah login,trs ditinggal keluar mau masuk lagi udah g bisa",2026-03-02 16:43:53
Wnh Nh,5,"hallo ka, saya pengguna brimo, selama ini berjalan lancar, namun sekarang ini saya tidak bisa log in, dan selalu keluar sendiri",2026-03-02 16:41:24
Aljun Simon Parore,5,Menarik,2026-03-02 16:41:15
Jun Panyalai,5,baik sekali,2026-03-02 16:40:53
Sulaeman Kamaye,1,"apk nya tolong diperbaiki lagi sistemnya, daftar tapi bolakbalik kehalaman utama udah 5 kali coba tetap sama aja bikin emosi😊",2026-03-02 16:34:39
Hilman Nurdiansyah,5,sangat bagus,2026-03-02 16:33:29
Arsya ?,4,baguss,2026-03-02 16:31:52
Riki Ustara,5,mudah dan cepat,2026-03-02 16:29:25
Rudyk Ermawan,5,mantap,2026-03-02 16:28:30
Keneth Saycond,2,baeu aja bikin akun.. eh udah di blokir.. kapan gw masuk nya .. Trus di bilang 6pasword salah mulu lagi. mana sms 6gak masuk2,2026-03-02 16:27:17
A.M.Shafana BTC,5,oke,2026-03-02 16:27:11
newbie RC,5,brimo saya kok tidak bisa login ya,2026-03-02 16:27:05
Triss Rayanzahir,1,makin ngk jelas ini apk bukan nya tambah bagus malah tambah bikin pusing masa harus veripikasi mulu tiap mau masuk lgi,2026-03-02 16:26:50
FATMA WATI,5,that simple🫰,2026-03-02 16:21:19
Armin Malik,4,"bagus sangat membantu tapi sering eror gak bisa masuk saat,mohon caranya supaya gak eror lagi bang",2026-03-02 16:18:38
Sang Putu Dirga,4,"brimo memudahkan bertransaksi, namun saya pernah punya pengalaman menyedihkan yaitu tabungan saya hilang, diambil via ATM setiap dini hari, di hari ke 5 saya baru menyadarinya, hingga tabungan berkurang 40an juta, mungkin ini kelemahannya, untuk selanjutnya dpt diproteksi, terima kasih",2026-03-02 16:16:55
ari sembako,1,APL buruk kok jadi susah gini ya stiap kali dibuka harus login mulu setelah login bisa gitu lagi harus unistal dan instal lagi haduh melelahkan,2026-03-02 16:16:04
Dinda Khumaira,1,"brimo makin kesini makin ancur kendala nya sama layar biru d tnggu lama lngsng blank layar putih, masa harus tiap verifikasi terus lama kelamaan pada pindah GK bkl pke brimo klo trs terusan kaya gini",2026-03-02 16:11:35
Dani Ardi,5,mantap,2026-03-02 16:07:21
stkiah ziii,1,Tolong dong benerin aplikasinya ini udah yg kesekian kalinya aplikasi ketika log in hanya blaknk warna putih. tolong perbaiki secepat mungkin!!!,2026-03-02 16:05:28
Rasya12 Pratama,5,ok,2026-03-02 16:03:59
Capatu Jordan,5,Mantap,2026-03-02 15:58:36
Bayu Sastrawan,5,"sangat lancar, apk ringan.",2026-03-02 15:58:07
Korban Janda,5,mempermudah,2026-03-02 15:56:17
aris darmawan,5,mantap,2026-03-02 15:54:10
Kadek Nopa Sumertayasa,5,"bagus sekali, mempermudah pembayaran tagihan listrik",2026-03-02 15:51:32
Ayu Puspita Sari,5,bagus,2026-03-02 15:51:31
faidzin silas,5,top markotop tuntas sampai ubun ubun,2026-03-02 15:50:46
Rosdiana azis,5,memudahkan,2026-03-02 15:49:47
Deran Duli,5,ok,2026-03-02 15:46:15
ALUNG SADEWA,5,memakai aplikasi brimo mudah & aman untuk d gunakan,2026-03-02 15:44:22
Tipa Tipa,3,sangat puas,2026-03-02 15:35:11
Asep Somantri,5,sangat puas,2026-03-02 15:32:52
koko meti17,5,mempermudah untuk bertransaksi,2026-03-02 15:32:36
Warta Tunggal,4,sering lelet masuk ke server,2026-03-02 15:24:52
Aneka tv,1,"masih gak bisa login, blank putih teruuss",2026-03-02 15:24:32
Wawan Priawan,5,aplikasi sangat baik...membantu permudah transaksi...bayar apa aja jd mudah,2026-03-02 15:24:04
Fira Ashter,5,menyenangkan sat set untuk gen z kayak aku 😅😭,2026-03-02 15:16:39
Ahmad toalib,5,mantap,2026-03-02 15:10:12
Jane indrawati Lameanda,5,terbaik,2026-03-02 15:09:01
belvikifli kiflibelfi,5,memudahkan,2026-03-02 15:02:04
M Halik,5,semua urusan jadi sangat mudah tinggal pencet selesai urusan 👍👍👍,2026-03-02 15:01:24
riko hardidinata,5,mantap,2026-03-02 14:58:38
nyoman wiyanti,2,"setelah sy download kenapa tidak bisa dibuka,? mohon diperbaiki kedepannya",2026-03-02 14:55:38
Surya Rian,1,limit penarikan tunai terlalu sedikit harus ngulang berkali kali,2026-03-02 14:55:23
aryo wiwoho,5,mudah dan lengkap pemakaiannya,2026-03-02 14:54:41
RUDIYATI,5,Bagus dan membantu Jadi mudah ga pake ribet,2026-03-02 14:52:31
Arya Sandi Kurniawan,5,sangat membantu saya,2026-03-02 14:51:43
Calya Mungil,5,oke,2026-03-02 14:43:46
Darti Darti,5,gampang dan cepat praktis,2026-03-02 14:41:59
FENDY SUMAYOW,1,"Aplikasi bodoh gue udh verifikasi muka gak jadi"" apalah brimo aplikasi bodoh",2026-03-02 14:36:40
Muhammad Rendi Zaelani Hidayat,4,"lumayan lancar semuanya sihh enak lah buat harian, saya kasih bintang 4 dulu azza",2026-03-02 14:32:55
Aan Sutantiyo,5,ok bange,2026-03-02 14:30:19
Munandar Baru,5,proses cepat dan lancar tanpa lendala,2026-03-02 14:29:32
Subeidi Jagalan,4,Baik,2026-03-02 14:25:26
Allfaris Wellikin,5,bagus,2026-03-02 14:25:19
Bagus Santoso,1,kejadian bln Agustus 2025.mantri nya gelapin uang blokiran 2x angsuran.udh ketemu kepala cabangnya ktnya TDK mau tanggung jawab.sampe skrg ga ada kejelasan,2026-03-02 14:24:34
Agungmulyo Taufiq,5,ok,2026-03-02 14:13:08
Lasrita Efriyanti,5,"hallo kk knp ya smpai skrg brimo ku GK bisa di buka, padahal aplikasi ini sgt membantu TPI saya kecewa skli gak bisa di buka padahal dh hapus cache dan mood pesawat juga sm tetap ngebleng dari biru tiba2 lgsung putih",2026-03-02 14:09:58
Reflin Sitompul,5,👍👍,2026-03-02 14:09:36
Heri Mandai,5,nice,2026-03-02 14:09:19
Mistar Star93,5,kenapa aplikasi brimo saya di bisa di buka? pas di buka layar nya putih mohon bantuannya,2026-03-02 14:07:46
Bunda,5,dengan brimo transaksi apapun sangat mudah,2026-03-02 14:05:42
Citra wana,5,mantap,2026-03-02 14:05:24
Freyzhe Anastasia,1,"setiap mau masuk aplikasi selalu disuruh masukin otp sama scan ktp padahal sebelumnya udah, hadeh kalau lagi kepepet pusing juga kayak gini",2026-03-02 14:02:45
Steven Elly,5,"hallo brimo, ini kenapa ya untuk menu pembayaran cicilan finance yang sudah terdaftar tidak dapat di akses, saat mau ngecek cicilan ada notif ""nomor yang anda masukkan salah, mohon periksa kembali"" tolong dibantu kendalanya",2026-03-02 14:00:41
Asep Aden,5,gacorr,2026-03-02 13:59:01
Fadila Kairunisa,5,bagus sekali,2026-03-02 13:51:19
Murdan iff,5,tidak bikin ribet,2026-03-02 13:51:17
sadut bleck,5,mantap,2026-03-02 13:50:23
Nurul Hidayah,5,proses mudah dan sangat membantu 🙏,2026-03-02 13:43:01
BU EMI Lesta lestari,5,mudah terpercaya dan aman,2026-03-02 13:35:02
aemfoaive (AF),1,"saya mau login, pas foto KTP aman, tapi pas verifikasi wajah ada kesalahan sistem. kesalahan sistem nya nggak cuma 1 kali, tapi sampai 3 kali. saya login nggak cuma di hp tapi juga di tab hasilnya sama. di hp katanya koneksi jaringan buruk, padahal nggak, bahkan pake data internet tetep sama. sekarang karna udah dibuat login berulang akhirnya kena peringatan terlalu banyak login. gimana sih brimo? gajelas.",2026-03-02 13:32:35
Pondok Pondok,5,ok,2026-03-02 13:30:59
I Gede Sadia UtamaYT,1,"Delay, proses lama",2026-03-02 13:22:22
madhan putra14,4,Good,2026-03-02 13:20:28
Dimas Fernando,5,min tolong brimo saya kok gabisa masuk udh 2 kali kek gini min pas masuk mental masuk mental,2026-03-02 13:17:36
Novie Suganda,5,top mantep,2026-03-02 13:12:04
Suardi,5,"sudah cukup baik,,membuat tiap transaksi lebih mudah",2026-03-02 13:10:00
Chairani Salsabila,5,top,2026-03-02 13:06:01
Sri Utami,5,mudah digunakan untuk bertransaksi...🙏,2026-03-02 13:05:15
Zaky Wahyu,5,keren...,2026-03-02 13:02:45
Anggi Oktaviani,5,mantap,2026-03-02 13:01:49
bad badtz-maru,5,memudahkan,2026-03-02 12:59:18
Najwa Son,5,bagus,2026-03-02 12:58:22
Trimawan Azmi,5,sangat baik untuk setiap transaksi,2026-03-02 12:56:10
Soja Lase,5,top,2026-03-02 12:56:02
sarman amang longi,4,4 dulu,2026-03-02 12:54:00
Agus Gunawan,5,sangat membantu sekali bisa transaksi dimana saja.,2026-03-02 12:52:56
khadafi Satria,5,Error mulu,2026-03-02 12:52:49
Hasrul Lhulu,5,sangat membantu,2026-03-02 12:52:45
Mr. Baso,5,Bermanfaat,2026-03-02 12:50:30
Rizkiseptian Adipratama,1,"saldo tiba tiba ilang di brimo, padahal ga bisa login, sekalinya bisa login, uang udah ditransfer ke orang lain, gokil juga brimo ya",2026-03-02 12:43:08
Syalom Manis,5,ini knpaa brimo smkin ksini klo buka apk.nya suka lamaaa..ngebug..pdhal baru di update..bukanya mlah simpel jdi lamaa,2026-03-02 12:39:09
pt Werdi,3,sering tidak bisa dibuka aplikasinya,2026-03-02 12:38:41
Alwi Qosim,5,mudah,2026-03-02 12:37:35
Izhaq 79,5,ok,2026-03-02 12:35:33
Adam Adam,5,biar yg berbicara Pokonya oke dah,2026-03-02 12:32:21
Marseldian Pratama,2,hallo kak.. saya pengguna BRIMO sudah beberapa tahun. baru kali ini Brimo saya tidak bisa log in sampai 1 bulan.. mohon untuk dibantu.,2026-03-02 12:31:47
Muhamad Ilmi,5,"Pelayanan sangat baik, dan kami sangat terbantu sekali, terimakasih,, 🙏",2026-03-02 12:31:11
Haris Haris,5,menyenangkan dan praktis,2026-03-02 12:30:51
Adrinnapis Syafira,1,lama lama bikin kesal tolong diperbaiki kalo gak dibuka 2 hari layar putih blank harus instal ulang lagi capek dehhhh,2026-03-02 12:28:44
Budiman Budiyansah,5,sangat membantu,2026-03-02 12:26:42
Bani Naura,5,memuaskan aplikasi nya,2026-03-02 12:24:50
Rizki Agustian,5,sangat baik,2026-03-02 12:19:39
Mrzen Penjen,5,bagus,2026-03-02 12:16:54
Nuryam Ruslin,5,sangat menbantu,2026-03-02 12:15:03
24 Novananda Purwahita,5,okela,2026-03-02 12:14:51
Vera Gopo,4,aplikasi nya bagus bisa untuk transfer byar apa pun tapi klau ke dana sering banget error!!,2026-03-02 12:14:31
Marwan Sukses,5,oke,2026-03-02 12:14:10
Rikha Elshaarawy,5,bagus pokonnya,2026-03-02 12:13:26
Yusman Benge,5,semoga kedepan potongannya lebih kecil lagi,2026-03-02 12:09:31
Ilham Pratama,5,sangat bagus dan memudahkan untuk bertransaksi,2026-03-02 12:09:14
Lamawai,5,sangat memudahkan,2026-03-02 12:08:57
novita sari dewi,5,"mantap, dengan BRIMo segalanya jadi lancar dan mudah...",2026-03-02 12:08:50
Septian Rinaldi,4,memudahkan nasabah untuk bertransaksi,2026-03-02 12:07:35
Feri Hidayat,5,sangat membantu sekali trima kasih brimo,2026-03-02 12:07:20
Salsa Salsa,3,brimo ku buram terus tidak bisa di buka,2026-03-02 12:06:55
Yusuf Rerfiana,2,setiap buka brimo gk prnah bs sllu instal lg udh 3 kali instal lg in mau d buka gk bs lg,2026-03-02 12:03:21
GOXMET TRIO,5,sangat membantu sekali,2026-03-02 11:59:59
Andi Adel,5,sangat baik,2026-03-02 11:59:52
Uphy Kelyombar,5,bagus asu,2026-03-02 11:59:27
Jantaka Hanta yuda,5,Mantap Brimo,2026-03-02 11:56:48
Ny. Setyani,5,"aplikasi yang sangat membantu, , selama pemakaian belum ada kendala...",2026-03-02 11:56:17
Ridho Prasetyo,2,sinyal bagus tapi gak bisa di buka aplikasinya bikin emosiii,2026-03-02 11:55:24
rohadi haryanto,5,nice,2026-03-02 11:54:25
Prandino L. Tobing,1,lemot,2026-03-02 11:53:28
Irsyadul Badry,1,apaan ini baru download ga bisa di buka,2026-03-02 11:53:12
Roslina Harahap,4,lebih gampang dan aman,2026-03-02 11:53:07
Edy Ruhiadi,5,bagus lancar untuk transaksi di brimo,2026-03-02 11:52:55
Rama Qois Masrur,1,kenapa sih brimo ngk bsa login,2026-03-02 11:52:46
Edi Junaedi,5,wah saya baru nyobain apk ini ternyata gampang banget cara pakainya banyak ke amanannya terjaga 2 langkah pasword dan pin mantap deh ga nyesel instal aplikasi ini cara transfernya juga gampang pokonya nih aplikasi membantu banget,2026-03-02 11:50:24
Moh Nurul Ardiansyah,1,"sampah beban,gabisa login mulu,udh direstar,udh dihapus+ download ulang tetep mentok gak bisa login",2026-03-02 11:48:58
Munassar Munassar,5,Mantap,2026-03-02 11:48:51
Raikal Alfatih,3,ribet bnaget log innya susah masuk,2026-03-02 11:48:46
Novan Aditya,2,"sering error knp ya , jaringan bagus tapi knp tidak bisa akses",2026-03-02 11:46:08
Aresha Shakila,5,memudahkan untuk transaksi,2026-03-02 11:45:41
Yanuwar Akhmad,2,sering banget error kalo mau transaksi padahal sinyal bagus aja,2026-03-02 11:43:32
Aidil Azhar,5,mantap,2026-03-02 11:42:13
ALVIN CANDRA AGUS PURNAMA,1,"eror mulu dah, gabisa transfer gara² eror",2026-03-02 11:40:10
Andre Saputra,5,lumayan bagus,2026-03-02 11:39:53
Skpe,1,udah di update malah kagak bisa di buka aplikasi apaan ini..,2026-03-02 11:38:49
Ari Pradana,1,tingkatkan lagi kepedulian terhadap pengaduan nasabah,2026-03-02 11:37:16
Qwerty 1234,1,tingkatkan lagi kecepatan pelayanan pengaduanya,2026-03-02 11:36:40
Ari Pradana,1,kasus lama selesai sudah 13 hari sejak pelaporan,2026-03-02 11:35:40
Duwi Winarni,5,oke,2026-03-02 11:34:13
yogi wijayanto,5,"Berguna disaat terdesak, terima kasih",2026-03-02 11:33:55
Weripang23 Weripang23,5,sangat mudah dan gampang,2026-03-02 11:32:23
eni sustyaningsih,5,sebagai pertama transfer uang sangat cepat,2026-03-02 11:32:08
Ari Pradana,1,sudah 13 hari kasus saya ga selesai saldo terdebit namun pembayaran gagal sampai sekarang pengaduan pengembalian saldo saya belum selesai,2026-03-02 11:31:05
Ali Rofiq,5,lebih mudah tanpa ribet .,2026-03-02 11:30:12
Horidatun Nadifah,5,bagus.,2026-03-02 11:26:48
Ayu Vivo,5,ok,2026-03-02 11:24:43
Qolbuiman Sejati (Iman),5,Mudah di manfaatkan,2026-03-02 11:20:54
Rizky sugiana,1,kenapa brimo sekarang jadi susah log in mau transaksi malah nyusahin.. ng blank terus... tolonglah perbaikan nya di maksimalkan biar lebih makin terbantu dengan kbutuhan transaksi yg lebih cepat..,2026-03-02 11:20:16
Suyono Pyon,5,oke terimakasih untuk semua produk layanan nya...,2026-03-02 11:16:57
Aples Billi,1,"Makin parah sihhh Sebelum nya aman aman saja,sekarang sudah makin parah,lama kelamaan jadi takut punya payrol disini MASALAHNYA KALAU TIDAK DI BLOKIR UANG NYA PASTI KEHILANGAN UANG NYA 🤦🏾‍♂️",2026-03-02 11:16:51
Deden Gimin,5,mantap👍👍👍,2026-03-02 11:13:28
Haikal Engkos,5,baik,2026-03-02 11:13:01
Kartiko Priyo,4,not bad laaah,2026-03-02 11:04:41
Tatang Ismaill,5,mantap meski saya baru belajar,2026-03-02 11:04:28
raskya,3,lagi dalam proses.tau bagus atau g,2026-03-02 10:58:08
Akbar Sulistyo,5,kenapasi kalo sambil telfon brimo gk bisa dipake hadeh,2026-03-02 10:57:08
Novi puji Setyaningsih,5,memudahkan aplikasi nya makasih semoga selalu memuaskan upgrade nya,2026-03-02 10:57:07
Yunita Wahyu,5,praktis,2026-03-02 10:56:55
Riyadi Adi,5,sangat baik,2026-03-02 10:54:48
Diah Riska,5,mempermudah transaksi,2026-03-02 10:52:11
Ulil Amri,5,mantap,2026-03-02 10:49:28
Ali Almunjamil_9397,5,memuaskan,2026-03-02 10:49:01
D ito,1,"Makin ancur aja, pas update, ngeblank",2026-03-02 10:48:39
Arul 1st,1,ngapa susah amat dibukanya si,2026-03-02 10:46:01
Ammar Hafidz,5,good folll,2026-03-02 10:45:48
Zaujati nafilah,5,baik sekali,2026-03-02 10:40:59
candra setiyawati084,5,Sangat membantu,2026-03-02 10:39:24
eni andayani,5,pelayanan cepat. tranfer juga cepat,2026-03-02 10:36:45
Maro Sebastian,1,tolong dong aplikasinya gak bisa buka brimo pada saat telfonan/komunikasi.😒😒,2026-03-02 10:36:05
Khauliahh1112 Putri,5,mantap,2026-03-02 10:35:56
Dedi onches,5,mantap,2026-03-02 10:26:52
NGOPI2,5,bagus lah,2026-03-02 10:26:50
Yoseva handayani,5,sangat membantu,2026-03-02 10:23:42
Rasumbut,1,emng kayak taik gak bisa verifikasi,2026-03-02 10:20:54
Tedjo Kusuma,5,Akunnya sering hilang di layar jadi tiap mau buka harus buka aplikasi dan login lagi,2026-03-02 10:19:52
Aaliya AFARA,5,baik,2026-03-02 10:17:06
mahatma dewantoro,2,"tlp cal center sampe 6menit nunggu, mau laporan penipuan, pulsa habis duluan, padahal antrean pertama",2026-03-02 10:08:55
Mistini 123,5,satpam way panji sangat ramah membuat aplikasi birimo,2026-03-02 10:05:57
Ihwan Udin,5,memudahkan dalam setiap transaksi keuangan,2026-03-02 10:02:22
Iyin Ciling,4,transaksi jadi lebih mudah,2026-03-02 10:00:25
Su hendri,5,sangat memmbantu..tapi hacker di bkacklist habis ya boss,2026-03-02 09:59:39
Saif Ibrahim,5,oke,2026-03-02 09:59:14
Grasella Surbakti,5,bagus banget,2026-03-02 09:58:57
Agus Imam,5,"Sangat Membantu, Mempermudah Segala Hal, Semoga Konsisten, Makasih..",2026-03-02 09:58:01
Dwi Lestari,4,bagus,2026-03-02 09:55:54
gagit laksi,1,aplikasi brimo sering lock sendiri proses transaksi jg lambat lemot payah,2026-03-02 09:55:05
Hidayatus,1,"aplikasi monyet, puasa puasa bikinnnnnn kesel aja luuuuu. Dibuka putiihhh muluu, kebelet chindo lu hahhhhhhhh",2026-03-02 09:49:17
Novi Sari,5,ok bagus,2026-03-02 09:47:32
Thomas tomi pratama,5,good apk,2026-03-02 09:46:04
Zubaidah saragih,1,"Aplikasi ccd, semua pengguna mempunyai kendala yg sama",2026-03-02 09:45:16
Cakopik Aja,5,sangat membantu,2026-03-02 09:44:15
Ferinus Zega,5,bagus,2026-03-02 09:43:38
Fajriyah Zainuddin Usman,5,pake brimo amat sangat membantu banget . terima ksh,2026-03-02 09:43:17
Sri Lestari,5,"trimakasih pak satpam ganteng,yg nma nya supiono sudah mmbntu permudah transaksi saya.",2026-03-02 09:37:28
Nur & jasri,5,mantaaaapppp,2026-03-02 09:36:55
Hendra Putra,5,sangat bagus,2026-03-02 09:35:00
kholif asbiansyah,5,oke mantap pembukaan rekening nya cepat sekali,2026-03-02 09:30:00
sitti fatima,5,sangat suka,2026-03-02 09:28:01
Adi Mustiadi,5,simple aplikasi mantab,2026-03-02 09:22:53
Leo Lebriansyah,1,bikin kecewa banget aplikasi brimo udh masukin id sama password udh masukin kode otp sama scan KTP pas di scan wajah gak bisa masuk ke mbaking ya parah emang aplikasi ya kelewatan banget,2026-03-02 09:22:12
Pipik Hidayat,2,ga bs di buka mana mau transaksi...rese nh brimo payah,2026-03-02 09:18:10
Zaky zayn,4,baik,2026-03-02 09:14:57
Asura Nouval,5,Baik,2026-03-02 09:11:16
Abdul Jalil,5,good,2026-03-02 09:10:46
Aly Rahman,5,bagus,2026-03-02 09:07:54
agia zanara,5,ok,2026-03-02 09:06:39
Liaaa Hiaa,4,sangat membantu,2026-03-02 09:03:39
Dian Novitasari,5,bagus aja,2026-03-02 08:58:48
Hela Nurfatwa,5,bagus dan lebih gampang,2026-03-02 08:57:20
Server Wangunjaya,1,"saldo sering di hold terus pernah setoran cicilan di tarik Doble pengembalian lama, sekalinya pengembalian saldo di tahan tidak bisa transaksi, pas di cek lagi saldo kembali di tarik, mau hapus rekening kalau kaya gini",2026-03-02 08:57:17
Yunfi,4,"Kenapa setiap saya membuka aplikasi selalu meminta verifikasi data diri, sangat membuat tidak nyaman harus verifikasi berulang kali. Bagaimana solusi untuk masalah saya?",2026-03-02 08:54:17
Sri Rahayu,5,enak pemakaian nya,2026-03-02 08:52:31
Pespri sembiring Sembiring,5,mantap,2026-03-02 08:49:10
Dede sulaeman,4,lumayan,2026-03-02 08:48:10
Purnama Wirawan,5,trimakasih BRI mobile banking yg selalu melayani nasabahnya dengan Baik cepat tanpa ribet,2026-03-02 08:45:40
Indra Wan,5,sangat membantu dan mudah,2026-03-02 08:44:48
Anggi Wulandari,5,ok,2026-03-02 08:44:41
Riadi Prabowo,5,bagus,2026-03-02 08:40:57
Deki Apriantoni,1,aplikasi nya ada. setelah di buka BRimo tdk bs terbukak. hanya layar hp nya putih aja. setelah di bukak.,2026-03-02 08:33:47
Andi Burhanuddin Abdullah,5,Awalnya tdk mudah... Foto Selfy berulang.. mungkin puluhan kali karena tidak fokus wajah senyumnya. Brimo mantap.,2026-03-02 08:23:34
Dian woto,4,kena apa akun brimo ga bisa di buka... selalu brimo ga nanggapi???,2026-03-02 08:22:11
ahmadmaulana kencong,5,mudah cepat praktis,2026-03-02 08:19:08
