user,rating,review,date,clean_review,tokens
olle rockavanka,5,sangat cocok untuk saya,2026-03-02 18:27:04,sangat cocok untuk saya,"['sangat', 'cocok', 'untuk', 'saya']"
Albert Franjaya,5,Mantap,2026-03-02 18:26:03,mantap,['mantap']
Muhamad Ghozali,3,ini kok ga bisa tf ke nomor dana kenapa ya,2026-03-02 18:24:54,ini kok ga bisa tf ke nomor dana kenapa ya,"['ini', 'kok', 'ga', 'bisa', 'tf', 'ke', 'nomor', 'dana', 'kenapa', 'ya']"
lukma argantara,5,mantap,2026-03-02 18:18:56,mantap,['mantap']
Tugiran Roy,5,sangat bermanfaat dalam bertransaksi,2026-03-02 18:15:13,sangat bermanfaat dalam bertransaksi,"['sangat', 'bermanfaat', 'dalam', 'bertransaksi']"
Rika Malang2025,5,sangat mempermudah proses para pelanggan setia BRI semoga jaya selalu 👏,2026-03-02 18:12:31,sangat mempermudah proses para pelanggan setia bri semoga jaya selalu ,"['sangat', 'mempermudah', 'proses', 'para', 'pelanggan', 'setia', 'bri', 'semoga', 'jaya', 'selalu']"
Lia Amalia,5,"Halo kak saya pengguna BRIMO.ini pertama kalinya saya tidak bisa mengakses akun saya karna ketika saya masuk ke aplikasi BRIMO hanya menampilkan warna biru tetapi setelah beberapa saat layar menjafi warna putih polos,saya sudah ke penagaturan aplikasi BRIMO dan sudah clear cache,dan sudah saya update aplikasinya,saya sudah mengirimkan email keluhan saya tapi belum ada respon mohon bantuan nya kak.",2026-03-02 18:07:47,halo kak saya pengguna brimoini pertama kalinya saya tidak bisa mengakses akun saya karna ketika saya masuk ke aplikasi brimo hanya menampilkan warna biru tetapi setelah beberapa saat layar menjafi warna putih polossaya sudah ke penagaturan aplikasi brimo dan sudah clear cachedan sudah saya update aplikasinyasaya sudah mengirimkan email keluhan saya tapi belum ada respon mohon bantuan nya kak,"['halo', 'kak', 'saya', 'pengguna', 'brimoini', 'pertama', 'kalinya', 'saya', 'tidak', 'bisa', 'mengakses', 'akun', 'saya', 'karna', 'ketika', 'saya', 'masuk', 'ke', 'aplikasi', 'brimo', 'hanya', 'menampilkan', 'warna', 'biru', 'tetapi', 'setelah', 'beberapa', 'saat', 'layar', 'menjafi', 'warna', 'putih', 'polossaya', 'sudah', 'ke', 'penagaturan', 'aplikasi', 'brimo', 'dan', 'sudah', 'clear', 'cachedan', 'sudah', 'saya', 'update', 'aplikasinyasaya', 'sudah', 'mengirimkan', 'email', 'keluhan', 'saya', 'tapi', 'belum', 'ada', 'respon', 'mohon', 'bantuan', 'nya', 'kak']"
boysaka goodgamer,5,Good,2026-03-02 18:07:39,good,['good']
Mang Ded,5,layanan oke,2026-03-02 18:02:37,layanan oke,"['layanan', 'oke']"
taufik jekat,5,sangat membantu sekali,2026-03-02 18:00:03,sangat membantu sekali,"['sangat', 'membantu', 'sekali']"
Kunar Yosi,5,sangat memudahkan,2026-03-02 17:53:29,sangat memudahkan,"['sangat', 'memudahkan']"
Syamsul Bahri,5,mantap,2026-03-02 17:52:56,mantap,['mantap']
martin airlen,5,Lumayan Bagus. cuma sy blm bisa kirim dari brimo le dana.,2026-03-02 17:52:42,lumayan bagus cuma sy blm bisa kirim dari brimo le dana,"['lumayan', 'bagus', 'cuma', 'sy', 'blm', 'bisa', 'kirim', 'dari', 'brimo', 'le', 'dana']"
Khennel Khen,5,sangat membantu,2026-03-02 17:52:03,sangat membantu,"['sangat', 'membantu']"
Affi Yunus,2,"notifikasi uang masuk dan keluar itu lama bgt kenapa ya, belum lagi buka aplikasi nunggu 4-5 detik baru bisa masuk ke aplikasi tolong diperbaiki performa apknya biar gak merugikan nasabah.",2026-03-02 17:46:35,notifikasi uang masuk dan keluar itu lama bgt kenapa ya belum lagi buka aplikasi nunggu  detik baru bisa masuk ke aplikasi tolong diperbaiki performa apknya biar gak merugikan nasabah,"['notifikasi', 'uang', 'masuk', 'dan', 'keluar', 'itu', 'lama', 'bgt', 'kenapa', 'ya', 'belum', 'lagi', 'buka', 'aplikasi', 'nunggu', 'detik', 'baru', 'bisa', 'masuk', 'ke', 'aplikasi', 'tolong', 'diperbaiki', 'performa', 'apknya', 'biar', 'gak', 'merugikan', 'nasabah']"
septiyandwi ningrum,5,sejauh ini good,2026-03-02 17:45:10,sejauh ini good,"['sejauh', 'ini', 'good']"
Mamo Azza,5,errorr terus,2026-03-02 17:41:16,errorr terus,"['errorr', 'terus']"
Mendi Priyono,5,bahmgus,2026-03-02 17:40:37,bahmgus,['bahmgus']
Azhari aziz Siddiq (Parto),2,sekian kalinya brimo cuma muncul layar putih yg harus bikin saya kesulitan dalam transaksi. gimana dongg!,2026-03-02 17:39:41,sekian kalinya brimo cuma muncul layar putih yg harus bikin saya kesulitan dalam transaksi gimana dongg,"['sekian', 'kalinya', 'brimo', 'cuma', 'muncul', 'layar', 'putih', 'yg', 'harus', 'bikin', 'saya', 'kesulitan', 'dalam', 'transaksi', 'gimana', 'dongg']"
Rici Alfauza,5,mantap,2026-03-02 17:38:29,mantap,['mantap']
Muhamad Rifan,5,dgn brimo semua serba mudah,2026-03-02 17:38:18,dgn brimo semua serba mudah,"['dgn', 'brimo', 'semua', 'serba', 'mudah']"
Gunawan Obos,5,mantep,2026-03-02 17:35:30,mantep,['mantep']
Susi Susanti,5,mau transfer dan cek saldo lebih mudah kalau punya aplikasi brimo,2026-03-02 17:34:00,mau transfer dan cek saldo lebih mudah kalau punya aplikasi brimo,"['mau', 'transfer', 'dan', 'cek', 'saldo', 'lebih', 'mudah', 'kalau', 'punya', 'aplikasi', 'brimo']"
Otniel Manullang,5,membantu banget,2026-03-02 17:33:15,membantu banget,"['membantu', 'banget']"
muhammad taufiqi,5,cukup membantu,2026-03-02 17:30:31,cukup membantu,"['cukup', 'membantu']"
Moh idza Nadhori,5,ok,2026-03-02 17:29:47,ok,['ok']
Ganto Leo,5,entut,2026-03-02 17:26:56,entut,['entut']
Yustina Kolo,5,terbaik,2026-03-02 17:19:11,terbaik,['terbaik']
Sar Manto,5,mudah digunakan,2026-03-02 17:10:11,mudah digunakan,"['mudah', 'digunakan']"
Gajah Mada,5,Mudah Dan Menguntungkan,2026-03-02 17:06:57,mudah dan menguntungkan,"['mudah', 'dan', 'menguntungkan']"
Alwi Ikhwan14,3,"maaf,mau tanya kenapa brimo punya saya sekarang setiap login selalu minta verifikasi, entah itu pake password atau sidik jari selalu minta verifikasi masukan OTP ,NIK SMA Selfi dulu jadinya ribet, padahal password+pin udah benar... terimakasih",2026-03-02 17:05:35,maafmau tanya kenapa brimo punya saya sekarang setiap login selalu minta verifikasi entah itu pake password atau sidik jari selalu minta verifikasi masukan otp nik sma selfi dulu jadinya ribet padahal passwordpin udah benar terimakasih,"['maafmau', 'tanya', 'kenapa', 'brimo', 'punya', 'saya', 'sekarang', 'setiap', 'login', 'selalu', 'minta', 'verifikasi', 'entah', 'itu', 'pake', 'password', 'atau', 'sidik', 'jari', 'selalu', 'minta', 'verifikasi', 'masukan', 'otp', 'nik', 'sma', 'selfi', 'dulu', 'jadinya', 'ribet', 'padahal', 'passwordpin', 'udah', 'benar', 'terimakasih']"
Arwin Effendi,5,mantap,2026-03-02 17:02:48,mantap,['mantap']
Sopia Duri,2,"lama-lama aplikasi brimo kayak B2. susah kali buat login, padahal sudah di update. giliran mau login layar HP malah memutih seperti sedang eror. tolong lah bos di perbaiki lagi sistem nya.",2026-03-02 17:02:19,lamalama aplikasi brimo kayak b susah kali buat login padahal sudah di update giliran mau login layar hp malah memutih seperti sedang eror tolong lah bos di perbaiki lagi sistem nya,"['lamalama', 'aplikasi', 'brimo', 'kayak', 'b', 'susah', 'kali', 'buat', 'login', 'padahal', 'sudah', 'di', 'update', 'giliran', 'mau', 'login', 'layar', 'hp', 'malah', 'memutih', 'seperti', 'sedang', 'eror', 'tolong', 'lah', 'bos', 'di', 'perbaiki', 'lagi', 'sistem', 'nya']"
Yulinda Qori,4,mudah digunakan,2026-03-02 17:01:53,mudah digunakan,"['mudah', 'digunakan']"
Khaerul Saleh,5,Sangat membantu didalam bertransaksi,2026-03-02 17:00:56,sangat membantu didalam bertransaksi,"['sangat', 'membantu', 'didalam', 'bertransaksi']"
Alex Alex,4,baik👍,2026-03-02 16:53:17,baik,['baik']
Widhi Guntur,5,mantap,2026-03-02 16:52:19,mantap,['mantap']
Gege Ramadhan01,2,"setiap akan login menggunakan fingerprint selalu ga bisa, padahal sudah aktif fitur fingerprintnya. masa setiap akan login selalu verifikasi ktp & selfi terus.",2026-03-02 16:51:42,setiap akan login menggunakan fingerprint selalu ga bisa padahal sudah aktif fitur fingerprintnya masa setiap akan login selalu verifikasi ktp  selfi terus,"['setiap', 'akan', 'login', 'menggunakan', 'fingerprint', 'selalu', 'ga', 'bisa', 'padahal', 'sudah', 'aktif', 'fitur', 'fingerprintnya', 'masa', 'setiap', 'akan', 'login', 'selalu', 'verifikasi', 'ktp', 'selfi', 'terus']"
Julius J DF,5,terbaik..👍👍👍,2026-03-02 16:50:20,terbaik,['terbaik']
Aimar Radinka,5,gampang banget,2026-03-02 16:50:18,gampang banget,"['gampang', 'banget']"
Pandapotan nasution,5,good,2026-03-02 16:49:09,good,['good']
Siti Sundari,5,matappp,2026-03-02 16:45:32,matappp,['matappp']
Kent Hilk,5,siip joss,2026-03-02 16:44:11,siip joss,"['siip', 'joss']"
Riki upik,2,"kenapa stelah login,trs ditinggal keluar mau masuk lagi udah g bisa",2026-03-02 16:43:53,kenapa stelah logintrs ditinggal keluar mau masuk lagi udah g bisa,"['kenapa', 'stelah', 'logintrs', 'ditinggal', 'keluar', 'mau', 'masuk', 'lagi', 'udah', 'g', 'bisa']"
Wnh Nh,5,"hallo ka, saya pengguna brimo, selama ini berjalan lancar, namun sekarang ini saya tidak bisa log in, dan selalu keluar sendiri",2026-03-02 16:41:24,hallo ka saya pengguna brimo selama ini berjalan lancar namun sekarang ini saya tidak bisa log in dan selalu keluar sendiri,"['hallo', 'ka', 'saya', 'pengguna', 'brimo', 'selama', 'ini', 'berjalan', 'lancar', 'namun', 'sekarang', 'ini', 'saya', 'tidak', 'bisa', 'log', 'in', 'dan', 'selalu', 'keluar', 'sendiri']"
Aljun Simon Parore,5,Menarik,2026-03-02 16:41:15,menarik,['menarik']
Jun Panyalai,5,baik sekali,2026-03-02 16:40:53,baik sekali,"['baik', 'sekali']"
Sulaeman Kamaye,1,"apk nya tolong diperbaiki lagi sistemnya, daftar tapi bolakbalik kehalaman utama udah 5 kali coba tetap sama aja bikin emosi😊",2026-03-02 16:34:39,apk nya tolong diperbaiki lagi sistemnya daftar tapi bolakbalik kehalaman utama udah  kali coba tetap sama aja bikin emosi,"['apk', 'nya', 'tolong', 'diperbaiki', 'lagi', 'sistemnya', 'daftar', 'tapi', 'bolakbalik', 'kehalaman', 'utama', 'udah', 'kali', 'coba', 'tetap', 'sama', 'aja', 'bikin', 'emosi']"
Hilman Nurdiansyah,5,sangat bagus,2026-03-02 16:33:29,sangat bagus,"['sangat', 'bagus']"
Arsya ?,4,baguss,2026-03-02 16:31:52,baguss,['baguss']
Riki Ustara,5,mudah dan cepat,2026-03-02 16:29:25,mudah dan cepat,"['mudah', 'dan', 'cepat']"
Rudyk Ermawan,5,mantap,2026-03-02 16:28:30,mantap,['mantap']
Keneth Saycond,2,baeu aja bikin akun.. eh udah di blokir.. kapan gw masuk nya .. Trus di bilang 6pasword salah mulu lagi. mana sms 6gak masuk2,2026-03-02 16:27:17,baeu aja bikin akun eh udah di blokir kapan gw masuk nya  trus di bilang pasword salah mulu lagi mana sms gak masuk,"['baeu', 'aja', 'bikin', 'akun', 'eh', 'udah', 'di', 'blokir', 'kapan', 'gw', 'masuk', 'nya', 'trus', 'di', 'bilang', 'pasword', 'salah', 'mulu', 'lagi', 'mana', 'sms', 'gak', 'masuk']"
A.M.Shafana BTC,5,oke,2026-03-02 16:27:11,oke,['oke']
newbie RC,5,brimo saya kok tidak bisa login ya,2026-03-02 16:27:05,brimo saya kok tidak bisa login ya,"['brimo', 'saya', 'kok', 'tidak', 'bisa', 'login', 'ya']"
Triss Rayanzahir,1,makin ngk jelas ini apk bukan nya tambah bagus malah tambah bikin pusing masa harus veripikasi mulu tiap mau masuk lgi,2026-03-02 16:26:50,makin ngk jelas ini apk bukan nya tambah bagus malah tambah bikin pusing masa harus veripikasi mulu tiap mau masuk lgi,"['makin', 'ngk', 'jelas', 'ini', 'apk', 'bukan', 'nya', 'tambah', 'bagus', 'malah', 'tambah', 'bikin', 'pusing', 'masa', 'harus', 'veripikasi', 'mulu', 'tiap', 'mau', 'masuk', 'lgi']"
FATMA WATI,5,that simple🫰,2026-03-02 16:21:19,that simple,"['that', 'simple']"
Armin Malik,4,"bagus sangat membantu tapi sering eror gak bisa masuk saat,mohon caranya supaya gak eror lagi bang",2026-03-02 16:18:38,bagus sangat membantu tapi sering eror gak bisa masuk saatmohon caranya supaya gak eror lagi bang,"['bagus', 'sangat', 'membantu', 'tapi', 'sering', 'eror', 'gak', 'bisa', 'masuk', 'saatmohon', 'caranya', 'supaya', 'gak', 'eror', 'lagi', 'bang']"
Sang Putu Dirga,4,"brimo memudahkan bertransaksi, namun saya pernah punya pengalaman menyedihkan yaitu tabungan saya hilang, diambil via ATM setiap dini hari, di hari ke 5 saya baru menyadarinya, hingga tabungan berkurang 40an juta, mungkin ini kelemahannya, untuk selanjutnya dpt diproteksi, terima kasih",2026-03-02 16:16:55,brimo memudahkan bertransaksi namun saya pernah punya pengalaman menyedihkan yaitu tabungan saya hilang diambil via atm setiap dini hari di hari ke  saya baru menyadarinya hingga tabungan berkurang an juta mungkin ini kelemahannya untuk selanjutnya dpt diproteksi terima kasih,"['brimo', 'memudahkan', 'bertransaksi', 'namun', 'saya', 'pernah', 'punya', 'pengalaman', 'menyedihkan', 'yaitu', 'tabungan', 'saya', 'hilang', 'diambil', 'via', 'atm', 'setiap', 'dini', 'hari', 'di', 'hari', 'ke', 'saya', 'baru', 'menyadarinya', 'hingga', 'tabungan', 'berkurang', 'an', 'juta', 'mungkin', 'ini', 'kelemahannya', 'untuk', 'selanjutnya', 'dpt', 'diproteksi', 'terima', 'kasih']"
ari sembako,1,APL buruk kok jadi susah gini ya stiap kali dibuka harus login mulu setelah login bisa gitu lagi harus unistal dan instal lagi haduh melelahkan,2026-03-02 16:16:04,apl buruk kok jadi susah gini ya stiap kali dibuka harus login mulu setelah login bisa gitu lagi harus unistal dan instal lagi haduh melelahkan,"['apl', 'buruk', 'kok', 'jadi', 'susah', 'gini', 'ya', 'stiap', 'kali', 'dibuka', 'harus', 'login', 'mulu', 'setelah', 'login', 'bisa', 'gitu', 'lagi', 'harus', 'unistal', 'dan', 'instal', 'lagi', 'haduh', 'melelahkan']"
Dinda Khumaira,1,"brimo makin kesini makin ancur kendala nya sama layar biru d tnggu lama lngsng blank layar putih, masa harus tiap verifikasi terus lama kelamaan pada pindah GK bkl pke brimo klo trs terusan kaya gini",2026-03-02 16:11:35,brimo makin kesini makin ancur kendala nya sama layar biru d tnggu lama lngsng blank layar putih masa harus tiap verifikasi terus lama kelamaan pada pindah gk bkl pke brimo klo trs terusan kaya gini,"['brimo', 'makin', 'kesini', 'makin', 'ancur', 'kendala', 'nya', 'sama', 'layar', 'biru', 'd', 'tnggu', 'lama', 'lngsng', 'blank', 'layar', 'putih', 'masa', 'harus', 'tiap', 'verifikasi', 'terus', 'lama', 'kelamaan', 'pada', 'pindah', 'gk', 'bkl', 'pke', 'brimo', 'klo', 'trs', 'terusan', 'kaya', 'gini']"
Dani Ardi,5,mantap,2026-03-02 16:07:21,mantap,['mantap']
stkiah ziii,1,Tolong dong benerin aplikasinya ini udah yg kesekian kalinya aplikasi ketika log in hanya blaknk warna putih. tolong perbaiki secepat mungkin!!!,2026-03-02 16:05:28,tolong dong benerin aplikasinya ini udah yg kesekian kalinya aplikasi ketika log in hanya blaknk warna putih tolong perbaiki secepat mungkin,"['tolong', 'dong', 'benerin', 'aplikasinya', 'ini', 'udah', 'yg', 'kesekian', 'kalinya', 'aplikasi', 'ketika', 'log', 'in', 'hanya', 'blaknk', 'warna', 'putih', 'tolong', 'perbaiki', 'secepat', 'mungkin']"
Rasya12 Pratama,5,ok,2026-03-02 16:03:59,ok,['ok']
Capatu Jordan,5,Mantap,2026-03-02 15:58:36,mantap,['mantap']
Bayu Sastrawan,5,"sangat lancar, apk ringan.",2026-03-02 15:58:07,sangat lancar apk ringan,"['sangat', 'lancar', 'apk', 'ringan']"
Korban Janda,5,mempermudah,2026-03-02 15:56:17,mempermudah,['mempermudah']
aris darmawan,5,mantap,2026-03-02 15:54:10,mantap,['mantap']
Kadek Nopa Sumertayasa,5,"bagus sekali, mempermudah pembayaran tagihan listrik",2026-03-02 15:51:32,bagus sekali mempermudah pembayaran tagihan listrik,"['bagus', 'sekali', 'mempermudah', 'pembayaran', 'tagihan', 'listrik']"
Ayu Puspita Sari,5,bagus,2026-03-02 15:51:31,bagus,['bagus']
faidzin silas,5,top markotop tuntas sampai ubun ubun,2026-03-02 15:50:46,top markotop tuntas sampai ubun ubun,"['top', 'markotop', 'tuntas', 'sampai', 'ubun', 'ubun']"
Rosdiana azis,5,memudahkan,2026-03-02 15:49:47,memudahkan,['memudahkan']
Deran Duli,5,ok,2026-03-02 15:46:15,ok,['ok']
ALUNG SADEWA,5,memakai aplikasi brimo mudah & aman untuk d gunakan,2026-03-02 15:44:22,memakai aplikasi brimo mudah  aman untuk d gunakan,"['memakai', 'aplikasi', 'brimo', 'mudah', 'aman', 'untuk', 'd', 'gunakan']"
Tipa Tipa,3,sangat puas,2026-03-02 15:35:11,sangat puas,"['sangat', 'puas']"
Asep Somantri,5,sangat puas,2026-03-02 15:32:52,sangat puas,"['sangat', 'puas']"
koko meti17,5,mempermudah untuk bertransaksi,2026-03-02 15:32:36,mempermudah untuk bertransaksi,"['mempermudah', 'untuk', 'bertransaksi']"
Warta Tunggal,4,sering lelet masuk ke server,2026-03-02 15:24:52,sering lelet masuk ke server,"['sering', 'lelet', 'masuk', 'ke', 'server']"
Aneka tv,1,"masih gak bisa login, blank putih teruuss",2026-03-02 15:24:32,masih gak bisa login blank putih teruuss,"['masih', 'gak', 'bisa', 'login', 'blank', 'putih', 'teruuss']"
Wawan Priawan,5,aplikasi sangat baik...membantu permudah transaksi...bayar apa aja jd mudah,2026-03-02 15:24:04,aplikasi sangat baikmembantu permudah transaksibayar apa aja jd mudah,"['aplikasi', 'sangat', 'baikmembantu', 'permudah', 'transaksibayar', 'apa', 'aja', 'jd', 'mudah']"
Fira Ashter,5,menyenangkan sat set untuk gen z kayak aku 😅😭,2026-03-02 15:16:39,menyenangkan sat set untuk gen z kayak aku ,"['menyenangkan', 'sat', 'set', 'untuk', 'gen', 'z', 'kayak', 'aku']"
Ahmad toalib,5,mantap,2026-03-02 15:10:12,mantap,['mantap']
Jane indrawati Lameanda,5,terbaik,2026-03-02 15:09:01,terbaik,['terbaik']
belvikifli kiflibelfi,5,memudahkan,2026-03-02 15:02:04,memudahkan,['memudahkan']
M Halik,5,semua urusan jadi sangat mudah tinggal pencet selesai urusan 👍👍👍,2026-03-02 15:01:24,semua urusan jadi sangat mudah tinggal pencet selesai urusan ,"['semua', 'urusan', 'jadi', 'sangat', 'mudah', 'tinggal', 'pencet', 'selesai', 'urusan']"
riko hardidinata,5,mantap,2026-03-02 14:58:38,mantap,['mantap']
nyoman wiyanti,2,"setelah sy download kenapa tidak bisa dibuka,? mohon diperbaiki kedepannya",2026-03-02 14:55:38,setelah sy download kenapa tidak bisa dibuka mohon diperbaiki kedepannya,"['setelah', 'sy', 'download', 'kenapa', 'tidak', 'bisa', 'dibuka', 'mohon', 'diperbaiki', 'kedepannya']"
Surya Rian,1,limit penarikan tunai terlalu sedikit harus ngulang berkali kali,2026-03-02 14:55:23,limit penarikan tunai terlalu sedikit harus ngulang berkali kali,"['limit', 'penarikan', 'tunai', 'terlalu', 'sedikit', 'harus', 'ngulang', 'berkali', 'kali']"
aryo wiwoho,5,mudah dan lengkap pemakaiannya,2026-03-02 14:54:41,mudah dan lengkap pemakaiannya,"['mudah', 'dan', 'lengkap', 'pemakaiannya']"
RUDIYATI,5,Bagus dan membantu Jadi mudah ga pake ribet,2026-03-02 14:52:31,bagus dan membantu jadi mudah ga pake ribet,"['bagus', 'dan', 'membantu', 'jadi', 'mudah', 'ga', 'pake', 'ribet']"
Arya Sandi Kurniawan,5,sangat membantu saya,2026-03-02 14:51:43,sangat membantu saya,"['sangat', 'membantu', 'saya']"
Calya Mungil,5,oke,2026-03-02 14:43:46,oke,['oke']
Darti Darti,5,gampang dan cepat praktis,2026-03-02 14:41:59,gampang dan cepat praktis,"['gampang', 'dan', 'cepat', 'praktis']"
FENDY SUMAYOW,1,"Aplikasi bodoh gue udh verifikasi muka gak jadi"" apalah brimo aplikasi bodoh",2026-03-02 14:36:40,aplikasi bodoh gue udh verifikasi muka gak jadi apalah brimo aplikasi bodoh,"['aplikasi', 'bodoh', 'gue', 'udh', 'verifikasi', 'muka', 'gak', 'jadi', 'apalah', 'brimo', 'aplikasi', 'bodoh']"
Muhammad Rendi Zaelani Hidayat,4,"lumayan lancar semuanya sihh enak lah buat harian, saya kasih bintang 4 dulu azza",2026-03-02 14:32:55,lumayan lancar semuanya sihh enak lah buat harian saya kasih bintang  dulu azza,"['lumayan', 'lancar', 'semuanya', 'sihh', 'enak', 'lah', 'buat', 'harian', 'saya', 'kasih', 'bintang', 'dulu', 'azza']"
Aan Sutantiyo,5,ok bange,2026-03-02 14:30:19,ok bange,"['ok', 'bange']"
Munandar Baru,5,proses cepat dan lancar tanpa lendala,2026-03-02 14:29:32,proses cepat dan lancar tanpa lendala,"['proses', 'cepat', 'dan', 'lancar', 'tanpa', 'lendala']"
Subeidi Jagalan,4,Baik,2026-03-02 14:25:26,baik,['baik']
Allfaris Wellikin,5,bagus,2026-03-02 14:25:19,bagus,['bagus']
Bagus Santoso,1,kejadian bln Agustus 2025.mantri nya gelapin uang blokiran 2x angsuran.udh ketemu kepala cabangnya ktnya TDK mau tanggung jawab.sampe skrg ga ada kejelasan,2026-03-02 14:24:34,kejadian bln agustus mantri nya gelapin uang blokiran x angsuranudh ketemu kepala cabangnya ktnya tdk mau tanggung jawabsampe skrg ga ada kejelasan,"['kejadian', 'bln', 'agustus', 'mantri', 'nya', 'gelapin', 'uang', 'blokiran', 'x', 'angsuranudh', 'ketemu', 'kepala', 'cabangnya', 'ktnya', 'tdk', 'mau', 'tanggung', 'jawabsampe', 'skrg', 'ga', 'ada', 'kejelasan']"
Agungmulyo Taufiq,5,ok,2026-03-02 14:13:08,ok,['ok']
Lasrita Efriyanti,5,"hallo kk knp ya smpai skrg brimo ku GK bisa di buka, padahal aplikasi ini sgt membantu TPI saya kecewa skli gak bisa di buka padahal dh hapus cache dan mood pesawat juga sm tetap ngebleng dari biru tiba2 lgsung putih",2026-03-02 14:09:58,hallo kk knp ya smpai skrg brimo ku gk bisa di buka padahal aplikasi ini sgt membantu tpi saya kecewa skli gak bisa di buka padahal dh hapus cache dan mood pesawat juga sm tetap ngebleng dari biru tiba lgsung putih,"['hallo', 'kk', 'knp', 'ya', 'smpai', 'skrg', 'brimo', 'ku', 'gk', 'bisa', 'di', 'buka', 'padahal', 'aplikasi', 'ini', 'sgt', 'membantu', 'tpi', 'saya', 'kecewa', 'skli', 'gak', 'bisa', 'di', 'buka', 'padahal', 'dh', 'hapus', 'cache', 'dan', 'mood', 'pesawat', 'juga', 'sm', 'tetap', 'ngebleng', 'dari', 'biru', 'tiba', 'lgsung', 'putih']"
Reflin Sitompul,5,👍👍,2026-03-02 14:09:36,,[]
Heri Mandai,5,nice,2026-03-02 14:09:19,nice,['nice']
Mistar Star93,5,kenapa aplikasi brimo saya di bisa di buka? pas di buka layar nya putih mohon bantuannya,2026-03-02 14:07:46,kenapa aplikasi brimo saya di bisa di buka pas di buka layar nya putih mohon bantuannya,"['kenapa', 'aplikasi', 'brimo', 'saya', 'di', 'bisa', 'di', 'buka', 'pas', 'di', 'buka', 'layar', 'nya', 'putih', 'mohon', 'bantuannya']"
Bunda,5,dengan brimo transaksi apapun sangat mudah,2026-03-02 14:05:42,dengan brimo transaksi apapun sangat mudah,"['dengan', 'brimo', 'transaksi', 'apapun', 'sangat', 'mudah']"
Citra wana,5,mantap,2026-03-02 14:05:24,mantap,['mantap']
Freyzhe Anastasia,1,"setiap mau masuk aplikasi selalu disuruh masukin otp sama scan ktp padahal sebelumnya udah, hadeh kalau lagi kepepet pusing juga kayak gini",2026-03-02 14:02:45,setiap mau masuk aplikasi selalu disuruh masukin otp sama scan ktp padahal sebelumnya udah hadeh kalau lagi kepepet pusing juga kayak gini,"['setiap', 'mau', 'masuk', 'aplikasi', 'selalu', 'disuruh', 'masukin', 'otp', 'sama', 'scan', 'ktp', 'padahal', 'sebelumnya', 'udah', 'hadeh', 'kalau', 'lagi', 'kepepet', 'pusing', 'juga', 'kayak', 'gini']"
